"Load More","Xem thêm"
"Store locator","Hệ thống cửa hàng"
"Find store Owen","Tìm cửa hàng Owen"
"List store","Danh sách cửa hàng"
"There are %1 stores found","Có %1 cửa hàng còn hàng"
"Please select a region","Nhập tỉnh, thành để tìm nhanh"
"Please select a city","Nhập quận, huyện để tìm nhanh"
"All Region","Tất cả tỉnh, thành"
"All District","Tất cả quận, huyện"
"Enter the name of the State/Region, or District","Nhập tên đường, tỉnh thành, quận huyện"
"Find your way to this store","Tìm đường đến cửa hàng này"
"Dont have any location","Không có kết quả phù hợp"
"OR CALL HOTLINE <a class='call' href='tel: %1'>%1</a> FOR SUPPORT","HOẶC GỌI HOTLINE <a class='call' href='tel: %1'>%1</a> ĐỂ ĐƯỢC HỖ TRỢ"
"Open Time Today:","Mở cửa:"
"Phone number:","Số điện thoại:"
"Address: ","Địa chỉ: "
"(Includes Sunday and holidays)","(Kể cả CN và ngày lễ)"
"Gallery & Details","Hình ảnh và thông tin cửa hàng"
"Phone number | ","Hotline cửa hàng | "
"View direction to this store","Xem đường đi đến cửa hàng này"
"Address | ","Địa chỉ | "
"Open Time Today | ","Giờ mở cửa | "
"List of stores in stock","Danh sách cửa hàng còn hàng"
