"Back","Quay lại"
"Delete","Xoá"
"Are you sure you want to do this?","Bạn có chắc chắn muốn thực hiện điều này?"
"Please select a city.","Vui lòng chọn thành phố."
"Male","Anh"
"Female","Chị"
"Inactive","Vô hiệu hoá"
"Active","Kích hoạt"
"Save and Continue Edit","Lưu và tiếp tục sửa"
"Save","Lưu"
"Review(s) were successfully deleted","Nhận xét đã được xoá thành công"
"We can't delete Review(s) right now. Please review the log and try again.","Không thể xoá nhận xét ngay bây giờ. Vui lòng thử lại."
"Manage Customer Review","Quản lý khách hàng nhận xét"
"This review no longer exists.","Nhận xét này không tồn tại."
"Edit Review","Sửa nhận xét"
"New Review","Đánh gía mới"
"Review","Nhận xét"
"Record(s) have been updated.","Bản ghi đã được cập nhật."
"We can't change status of review(s) right now. Please review the log and try again.","Không thể thay đổi nhận xét ngay bây giờ. Vui lòng thử lại."
"We can't delete review(s) right now. Please review the log and try again. ","Không thể xoá nhận xét ngay bây giờ. Vui lòng thử lại. "
"You saved the review.","Bạn đã lưu nhận xét."
"Something went wrong while getting the image url.","Đã xảy ra lỗi khi lấy url hình ảnh."
"Edit","Sửa"
"Reviews of customer","Nhận xét của khách hàng"
"Customer Reviews","Nhận xét của khách hàng"
"Block Customer Review","Khối nhận xét của khách hàng"
"General","Chung"
"Name","Tên"
"Gender","Giới tính"
"City","Thành phố"
"Status","Trạng thái"
"Picture","Ảnh đại diện"
"Content","Nội dung"
"Add New Review","Thêm nhận xét mới"
"Are you sure to delete selected review?","Bạn có chắc chắn muốn xoá nhận xét?"
"Activate","Kích hoạt"
"Inactivate","Vô hiệu hoá"
"Review dose not exits.","Nhận xét không tồn tại"
"Review was saved successfully.","Nhận xét"
"Failed to save review.","Lưu nhận xét thất bại"
