STT,Name,Zipcode
1,"Hà Nội",10000
2,"TP HCM",70000
3,"Đà Nẵng",50000
4,"Đồng Nai",76000
5,"Thái Nguyên",24000
6,"Thanh Hoá",40000
7,"Lai Châu",30000
8,"Sơn La",34000
9,"Yên Bái",33000
10,"Hòa Bình",36000
11,"Lào Cai",31000
12,"Lạng Sơn",25000
13,"Quảng Ninh",01000
14,"Bắc Giang",26000
15,"Phú Thọ",35000
16,"Vĩnh Phúc",15000
17,"Bắc Ninh",16000
18,"Hà Giang",20000
19,"Hải Dương",03000
20,"Hải Phòng",04000
21,"Hưng Yên",17000
22,"Thái Bình",06000
23,"Hà Nam",18000
24,"Nam Định",07000
25,"Ninh Bình",08000
26,"Điện Biên",32000
27,"Nghệ An",43000
28,"Hà Tĩnh",45000
29,"Quảng Bình",47000
30,"Quảng Trị",48000
31,"Thừa Thiên Huế",49000
32,"Bắc Kạn",23000
33,"Quảng Nam",51000
34,"Quảng Ngãi",53000
35,"Kon Tum",60000
36,"Gia Lai",61000
37,"Bình Định",55000
38,"Phú Yên",56000
39,"Đắk Lắk",63000
40,"Khánh Hoà",57000
41,"Đắk Nông",65000
42,"Lâm Đồng",66000
43,"Ninh Thuận",59000
44,"Bình Phước",67000
45,"Tây Ninh",80000
46,"Bình Dương",75000
47,"Tuyên Quang",22000
48,"Bình Thuận",77000
49,"Cao Bằng",21000
50,"Long An",82000
51,"Bà Rịa – Vũng Tàu",78000
52,"Đồng Tháp",81000
53,"An Giang",90000
54,"Tiền Giang",84000
55,"Vĩnh Long",85000
56,"Bến Tre",86000
57,"Cần Thơ",94000
58,"Kiên Giang",91000
59,"Trà Vinh",87000
60,"Hậu Giang",95000
61,"Sóc Trăng",96000
62,"Bạc Liêu",97000
63,"Cà Mau",98000
